-DOCSTART- -X- -X- O
jim O O I-ORIGIN
morris O O I-ORIGIN

a O O O
1939 O O B-YEAR
movie O O O
adaptation O O O
of O O O
1000 O O O
plus O O O
page O O O
book O O O
starring O O O
clark O O B-ACTOR
gable O O I-ACTOR
and O O O
vivien O O B-ACTOR
leigh O O I-ACTOR

what O O O
movie O O O
was O O O
inspired O O O
by O O O
a O O O
very O O O
famous O O B-SOUNDTRACK
song O O I-SOUNDTRACK
by O O I-SOUNDTRACK
the O O I-SOUNDTRACK
beatles O O I-SOUNDTRACK
and O O B-ORIGIN
written O O I-ORIGIN
by O O I-ORIGIN
paul O O I-ORIGIN
mccartney O O I-ORIGIN

i O O O
m O O O
thinking O O O
of O O O
a O O O
movie O O O
where O O O
the O O B-PLOT
wimpy O O I-PLOT
main O O I-PLOT
character O O I-PLOT
befriends O O I-PLOT
a O O I-PLOT
fierce O O I-PLOT
animal O O I-PLOT
to O O I-PLOT
the O O I-PLOT
dismay O O I-PLOT
of O O I-PLOT
his O O I-PLOT
viking O O I-PLOT
community O O I-PLOT

what O O O
film O O O
did O O O
billy O O B-ACTOR
bob O O I-ACTOR
thornton O O I-ACTOR
win O O O
an O O O
oscar O O B-AWARD
for O O I-AWARD
writing O O I-AWARD

what O O O
1979 O O B-YEAR
musical O O B-GENRE
is O O O
loosely O O O
based O O B-PLOT
on O O I-PLOT
the O O I-PLOT
life O O I-PLOT
and O O I-PLOT
career O O I-PLOT
of O O I-PLOT
the O O I-PLOT
film O O I-PLOT
s O O I-PLOT
director O O I-PLOT
bob O O B-DIRECTOR
fosse O O I-DIRECTOR

while O O O
shooting O O O
this O O O
pivotal O O B-OPINION
counterculture O O B-GENRE
film O O O
paul O O B-ACTOR
newman O O I-ACTOR
was O O O
said O O O
to O O O
have O O O
eaten O O O
over O O O
fifty O O O
boiled O O O
eggs O O O
in O O O
a O O O
single O O O
afternoon O O O

what O O O
2012 O O B-YEAR
movie O O O
revived O O O
the O O O
american O O B-RELATIONSHIP
pie O O I-RELATIONSHIP
chain O O I-RELATIONSHIP
by O O O
bringing O O O
back O O O
jason O O B-ACTOR
biggs O O I-ACTOR
alyson O O I-ACTOR
hannigan O O I-ACTOR
and O O O
most O O O
of O O O
the O O O
rest O O O
of O O O
the O O O
cast O O O
from O O O
the O O O
original O O O
film O O O

based O O O
on O O O
a O O O
graphic O O B-GENRE
novel O O I-GENRE
this O O O
film O O O
stars O O O
actor O O O
mickey O O B-ACTOR
rourke O O I-ACTOR
and O O O
features O O O
others O O O
such O O O
as O O O
jessica O O B-ACTOR
alba O O I-ACTOR
carla O O I-ACTOR
gugino O O I-ACTOR
bruce O O I-ACTOR
willis O O I-ACTOR
and O O I-ACTOR
tobey O O I-ACTOR
maguire O O I-ACTOR

what O O O
2000 O O B-YEAR
movie O O O
is O O O
the O O O
story O O B-PLOT
of O O I-PLOT
two O O I-PLOT
warriors O O I-PLOT
chasing O O I-PLOT
down O O I-PLOT
a O O I-PLOT
stolen O O I-PLOT
sword O O I-PLOT
run O O I-PLOT
into O O I-PLOT
a O O I-PLOT
skilled O O I-PLOT
nobleman O O I-PLOT
s O O I-PLOT
daughter O O I-PLOT

i O O O
m O O O
thinking O O O
of O O O
a O O O
movie O O O
with O O O
leo O O B-ACTOR
dicaprio O O I-ACTOR
in O O O
which O O O
he O O B-PLOT
enters O O I-PLOT
the O O I-PLOT
human O O I-PLOT
mind O O I-PLOT
through O O I-PLOT
their O O I-PLOT
dreams O O I-PLOT

a O O B-PLOT
young O O I-PLOT
girl O O I-PLOT
lets O O I-PLOT
three O O I-PLOT
strangers O O I-PLOT
escort O O I-PLOT
her O O I-PLOT
to O O I-PLOT
see O O I-PLOT
a O O I-PLOT
strange O O I-PLOT
gentleman O O I-PLOT
that O O I-PLOT
is O O I-PLOT
fond O O I-PLOT
of O O I-PLOT
magic O O I-PLOT
tricks O O I-PLOT

released O O O
in O O O
1967 O O B-YEAR
this O O O
film O O O
featured O O O
a O O O
major O O O
cast O O O
of O O O
stars O O O
portraying O O O
a O O B-PLOT
group O O I-PLOT
of O O I-PLOT
enlisted O O I-PLOT
convicts O O I-PLOT
in O O I-PLOT
wwii O O I-PLOT
led O O I-PLOT
by O O I-PLOT
lee O O B-ACTOR
marvin O O I-ACTOR

i O O O
am O O O
thinking O O O
of O O O
the O O O
award O O O
winning O O O
steven O O B-DIRECTOR
spielberg O O I-DIRECTOR
film O O O
that O O O
stars O O O
tom O O B-ACTOR
hanks O O I-ACTOR
as O O O
an O O B-PLOT
army O O I-PLOT
captain O O I-PLOT
on O O I-PLOT
a O O I-PLOT
mission O O I-PLOT
to O O I-PLOT
rescue O O I-PLOT
the O O I-PLOT
sole O O I-PLOT
survivor O O I-PLOT
of O O I-PLOT
four O O I-PLOT
enlisted O O I-PLOT
brothers O O I-PLOT
after O O I-PLOT
the O O I-PLOT
invasion O O I-PLOT
of O O I-PLOT
normandy O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
about O O O
luke O O B-CHARACTER_NAME
skywalker O O I-CHARACTER_NAME
breaking O O B-PLOT
free O O I-PLOT
from O O I-PLOT
his O O I-PLOT
aunt O O I-PLOT
and O O I-PLOT
uncle O O I-PLOT
to O O I-PLOT
rescue O O I-PLOT
princess O O B-CHARACTER_NAME
leia O O I-CHARACTER_NAME

what O O O
is O O O
the O O O
film O O O
based O O O
off O O O
the O O O
children O O O
s O O O
rhyme O O O
about O O O
the O O O
couple O O B-PLOT
who O O I-PLOT
go O O I-PLOT
over O O I-PLOT
the O O I-PLOT
hill O O I-PLOT

what O O O
is O O O
that O O O
film O O O
starring O O O
julia O O B-ACTOR
roberts O O I-ACTOR
who O O O
plays O O O
a O O O
middle O O B-PLOT
aged O O I-PLOT
woman O O I-PLOT
who O O I-PLOT
decides O O I-PLOT
to O O I-PLOT
embark O O I-PLOT
on O O I-PLOT
an O O I-PLOT
adventure O O I-PLOT
and O O I-PLOT
goes O O I-PLOT
to O O I-PLOT
bali O O I-PLOT

im O O O
thinking O O O
of O O O
a O O O
movie O O O
where O O O
a O O B-PLOT
manhattan O O I-PLOT
couple O O I-PLOT
are O O I-PLOT
suddenly O O I-PLOT
dealing O O I-PLOT
with O O I-PLOT
the O O I-PLOT
issue O O I-PLOT
of O O I-PLOT
employment O O I-PLOT
and O O I-PLOT
move O O I-PLOT
to O O I-PLOT
a O O I-PLOT
community O O I-PLOT
where O O I-PLOT
free O O I-PLOT
love O O I-PLOT
rules O O I-PLOT

fuck O O O
you O O O
thunder O O O
your O O O
just O O O
gods O O O
farts O O O

which O O O
film O O O
is O O O
about O O O
a O O B-PLOT
group O O I-PLOT
of O O I-PLOT
seemingly O O I-PLOT
unrelated O O I-PLOT
characters O O I-PLOT
being O O I-PLOT
isolated O O I-PLOT
and O O I-PLOT
tortured O O I-PLOT
by O O I-PLOT
the O O I-PLOT
villain O O I-PLOT
jigsaw O O B-CHARACTER_NAME

what O O O
is O O O
the O O O
name O O O
of O O O
the O O O
animated O O B-GENRE
film O O O
based O O O
on O O O
a O O B-PLOT
clown O O I-PLOT
fish O O I-PLOT
who O O I-PLOT
has O O I-PLOT
lost O O I-PLOT
his O O I-PLOT
son O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
the O O O
film O O O
adaptation O O O
of O O O
the O O O
fannie O O B-ORIGIN
flagg O O I-ORIGIN
novel O O I-ORIGIN
that O O O
stars O O O
jessica O O B-ACTOR
tandy O O I-ACTOR
and O O O
kathy O O B-ACTOR
bates O O I-ACTOR
and O O O
tells O O B-PLOT
the O O I-PLOT
tale O O I-PLOT
of O O I-PLOT
a O O I-PLOT
strong O O I-PLOT
bond O O I-PLOT
between O O I-PLOT
two O O I-PLOT
depression O O I-PLOT
era O O I-PLOT
women O O I-PLOT

i O O O
want O O O
to O O O
see O O O
that O O O
movie O O O
with O O O
jonah O O B-ACTOR
hill O O I-ACTOR
who O O O
has O O O
to O O O
bring O O B-PLOT
an O O I-PLOT
alcoholic O O I-PLOT
english O O I-PLOT
rockstar O O I-PLOT
playboy O O I-PLOT
nuisance O O I-PLOT
to O O I-PLOT
his O O I-PLOT
destination O O I-PLOT
before O O I-PLOT
a O O I-PLOT
set O O I-PLOT
time O O I-PLOT

what O O O
movie O O O
features O O O
psychopath O O O
norman O O B-CHARACTER_NAME
bates O O I-CHARACTER_NAME
and O O O
the O O O
most O O O
famous O O B-OPINION
shower O O I-OPINION
scene O O I-OPINION
in O O I-OPINION
cinematic O O I-OPINION
history O O I-OPINION

this O O O
movie O O O
is O O O
about O O O
a O O B-PLOT
street O O I-PLOT
urchin O O I-PLOT
accidentally O O I-PLOT
meets O O I-PLOT
princess O O I-PLOT
jasmine O O B-CHARACTER_NAME
who O O B-PLOT
is O O I-PLOT
in O O I-PLOT
the O O I-PLOT
city O O I-PLOT
undercover O O I-PLOT
they O O I-PLOT
love O O I-PLOT
each O O I-PLOT
other O O I-PLOT
but O O I-PLOT
she O O I-PLOT
can O O I-PLOT
only O O I-PLOT
marry O O I-PLOT
a O O I-PLOT
prince O O I-PLOT

what O O O
s O O O
the O O O
movie O O O
where O O O
the O O O
myth O O B-GENRE
of O O O
gangster O O O
keiser O O B-CHARACTER_NAME
soze O O I-CHARACTER_NAME
is O O O
recounted O O B-PLOT
from O O O
different O O O
perspectives O O B-PLOT

what O O O
is O O O
the O O O
name O O O
of O O O
the O O O
movie O O O
where O O O
jeremy O O B-ACTOR
renner O O I-ACTOR
plays O O O
the O O B-PLOT
sergeant O O I-PLOT
of O O I-PLOT
an O O I-PLOT
army O O I-PLOT
bomb O O I-PLOT
squad O O I-PLOT
unit O O I-PLOT
during O O I-PLOT
the O O I-PLOT
iraq O O I-PLOT
war O O I-PLOT

what O O O
is O O O
this O O O
1972 O O B-YEAR
iconic O O O
american O O B-GENRE
epic O O B-OPINION
crime O O B-GENRE
film O O O
about O O O
a O O B-PLOT
man O O I-PLOT
who O O I-PLOT
has O O I-PLOT
an O O I-PLOT
offer O O I-PLOT
you O O I-PLOT
ca O O I-PLOT
n O O I-PLOT
t O O I-PLOT
refuse O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
a O O O
film O O O
that O O O
was O O O
based O O O
on O O O
a O O O
classic O O B-ORIGIN
literary O O I-ORIGIN
novel O O I-ORIGIN
written O O I-ORIGIN
by O O I-ORIGIN
emily O O I-ORIGIN
bronte O O I-ORIGIN
about O O B-PLOT
a O O I-PLOT
boy O O I-PLOT
named O O I-PLOT
heathcliff O O B-CHARACTER_NAME

this O O O
gene O O B-ACTOR
kelly O O I-ACTOR
classic O O B-OPINION
has O O O
three O O B-PLOT
friends O O I-PLOT
struggling O O I-PLOT
to O O I-PLOT
find O O I-PLOT
work O O I-PLOT
in O O I-PLOT
paris O O I-PLOT
things O O I-PLOT
become O O I-PLOT
more O O I-PLOT
complicated O O I-PLOT
when O O I-PLOT
two O O I-PLOT
of O O I-PLOT
them O O I-PLOT
fall O O I-PLOT
in O O I-PLOT
love O O I-PLOT
with O O I-PLOT
the O O I-PLOT
same O O I-PLOT
woman O O I-PLOT

in O O O
this O O O
2012 O O B-YEAR
movie O O O
chris O O B-ACTOR
pine O O I-ACTOR
and O O O
tom O O B-ACTOR
hardy O O I-ACTOR
are O O O
cia O O B-PLOT
agents O O I-PLOT
fighting O O I-PLOT
each O O I-PLOT
other O O I-PLOT
over O O I-PLOT
a O O I-PLOT
girl O O I-PLOT

what O O O
is O O O
the O O O
movie O O O
that O O O
s O O O
based O O O
on O O O
a O O B-PLOT
man O O I-PLOT
who O O I-PLOT
goes O O I-PLOT
on O O I-PLOT
adventures O O I-PLOT
and O O I-PLOT
meets O O I-PLOT
both O O I-PLOT
giants O O I-PLOT
and O O I-PLOT
very O O I-PLOT
small O O I-PLOT
people O O I-PLOT

which O O O
of O O O
these O O O
movies O O O
came O O O
out O O O
in O O O
2010 O O B-YEAR
and O O O
starred O O O
jake O O B-ACTOR
gyllenhaal O O I-ACTOR
in O O O
a O O O
pg O O B-DIRECTOR
13 O O I-DIRECTOR
disney O O B-GENRE
movie O O O

what O O O
is O O O
the O O O
movie O O O
where O O O
an O O O
unappreciated O O B-PLOT
villain O O I-PLOT
in O O I-PLOT
a O O I-PLOT
video O O I-PLOT
games O O I-PLOT
leaves O O I-PLOT
his O O I-PLOT
game O O I-PLOT
and O O I-PLOT
enters O O I-PLOT
others O O I-PLOT

what O O O
movie O O O
about O O O
a O O B-PLOT
rambunctious O O I-PLOT
rock O O I-PLOT
star O O I-PLOT
was O O I-PLOT
a O O I-PLOT
spin O O B-RELATIONSHIP
off O O I-RELATIONSHIP
to O O I-RELATIONSHIP
the O O I-RELATIONSHIP
comedy O O I-RELATIONSHIP
forgetting O O I-RELATIONSHIP
sarah O O I-RELATIONSHIP
marshall O O I-RELATIONSHIP

what O O O
is O O O
the O O O
movie O O O
directed O O O
by O O O
quentin O O B-DIRECTOR
tarantino O O I-DIRECTOR
about O O O
a O O B-PLOT
jewelry O O I-PLOT
heist O O I-PLOT
that O O I-PLOT
goes O O I-PLOT
wrong O O I-PLOT

i O O O
m O O O
thinking O O O
of O O O
the O O O
epic O O O
movie O O O
based O O B-ORIGIN
on O O I-ORIGIN
the O O I-ORIGIN
book O O I-ORIGIN
by O O I-ORIGIN
j O O I-ORIGIN
r O O I-ORIGIN
r O O I-ORIGIN
tolkien O O I-ORIGIN
featuring O O O
hobbits O O B-PLOT
wizards O O I-PLOT
elves O O I-PLOT
and O O I-PLOT
a O O I-PLOT
dark O O I-PLOT
magic O O I-PLOT

a O O O
suspense O O B-GENRE
horror O O I-GENRE
film O O O
which O O O
has O O B-PLOT
a O O I-PLOT
mind O O I-PLOT
blowing O O I-PLOT
character O O I-PLOT
who O O I-PLOT
is O O I-PLOT
portrait O O I-PLOT
as O O I-PLOT
mentally O O I-PLOT
ill O O I-PLOT

this O O O
movie O O O
s O O O
retelling O O B-ORIGIN
of O O I-ORIGIN
the O O I-ORIGIN
classic O O I-ORIGIN
fairytale O O I-ORIGIN
does O O B-PLOT
n O O I-PLOT
t O O I-PLOT
have O O I-PLOT
the O O I-PLOT
princess O O I-PLOT
falling O O I-PLOT
in O O I-PLOT
love O O I-PLOT
with O O I-PLOT
the O O I-PLOT
prince O O I-PLOT
at O O I-PLOT
the O O I-PLOT
end O O I-PLOT

this O O O
1982 O O B-YEAR
film O O O
which O O O
also O O O
starred O O O
james O O B-ACTOR
earl O O I-ACTOR
jones O O I-ACTOR
as O O O
thulsa O O B-CHARACTER_NAME
doom O O I-CHARACTER_NAME
was O O O
the O O O
first O O B-OPINION
box O O I-OPINION
office O O I-OPINION
success O O I-OPINION
for O O O
austrian O O O
bodybuilder O O O
arnold O O B-ACTOR
schwarzenegger O O I-ACTOR

what O O O
war O O O
was O O O
taking O O O
place O O O
during O O O
the O O O
movie O O O

this O O O
classic O O B-GENRE
horror O O I-GENRE
movie O O O
involves O O O
a O O B-PLOT
young O O I-PLOT
priest O O I-PLOT
and O O I-PLOT
an O O I-PLOT
old O O I-PLOT
priest O O I-PLOT
removing O O I-PLOT
a O O I-PLOT
demon O O I-PLOT
spirit O O I-PLOT
from O O I-PLOT
a O O I-PLOT
little O O I-PLOT
girl O O I-PLOT

this O O O
in O O O
theater O O O
experience O O O
features O O O
the O O B-PLOT
equally O O I-PLOT
loved O O I-PLOT
and O O I-PLOT
hated O O I-PLOT
pop O O I-PLOT
icon O O I-PLOT
from O O O
canada O O O
who O O B-PLOT
some O O I-PLOT
say O O I-PLOT
looks O O I-PLOT
like O O I-PLOT
ellen O O I-PLOT
degeneres O O I-PLOT

what O O O
gangster O O B-GENRE
film O O O
starring O O O
tom O O B-ACTOR
hanks O O I-ACTOR
and O O O
filmed O O O
in O O O
and O O O
around O O O
chicago O O O
is O O O
based O O B-ORIGIN
on O O I-ORIGIN
an O O I-ORIGIN
acclaimed O O I-ORIGIN
graphic O O I-ORIGIN
novel O O I-ORIGIN

what O O O
is O O O
the O O O
movie O O O
with O O O
leonardo O O B-ACTOR
dicaprio O O I-ACTOR
that O O O
he O O B-PLOT
goes O O I-PLOT
into O O I-PLOT
other O O I-PLOT
people O O I-PLOT
s O O I-PLOT
dreams O O I-PLOT
and O O I-PLOT
tries O O I-PLOT
to O O I-PLOT
fix O O I-PLOT
things O O I-PLOT

which O O O
movie O O O
that O O O
came O O O
out O O O
in O O O
1995 O O B-YEAR
features O O O
detectives O O B-PLOT
following O O I-PLOT
a O O I-PLOT
serial O O I-PLOT
killer O O I-PLOT
who O O I-PLOT
showcases O O I-PLOT
dante O O I-PLOT
s O O I-PLOT
deadly O O I-PLOT
sins O O I-PLOT

what O O O
is O O O
the O O O
2011 O O B-YEAR
stoner O O O
comedy O O B-GENRE
that O O O
is O O O
the O O O
latest O O B-RELATIONSHIP
instalment O O I-RELATIONSHIP
in O O O
a O O O
series O O O
that O O O
follows O O O
john O O B-CHARACTER_NAME
cho O O I-CHARACTER_NAME
and O O O
kal O O B-CHARACTER_NAME
penn O O I-CHARACTER_NAME
as O O O
they O O B-PLOT
set O O I-PLOT
out O O I-PLOT
on O O I-PLOT
a O O I-PLOT
quest O O I-PLOT
to O O I-PLOT
find O O I-PLOT
the O O I-PLOT
perfect O O I-PLOT
christmas O O I-PLOT
tree O O I-PLOT

what O O O
s O O O
that O O O
scary O O B-GENRE
movie O O O
about O O O
a O O B-PLOT
serial O O I-PLOT
killer O O I-PLOT
who O O I-PLOT
returns O O I-PLOT
to O O I-PLOT
a O O I-PLOT
small O O I-PLOT
town O O I-PLOT
to O O I-PLOT
kill O O I-PLOT
everyone O O I-PLOT
born O O I-PLOT
on O O I-PLOT
the O O I-PLOT
day O O I-PLOT
he O O I-PLOT
supposedly O O I-PLOT
died O O I-PLOT

what O O O
is O O O
the O O O
sequel O O B-RELATIONSHIP
to O O O
the O O O
1987 O O B-YEAR
film O O O
about O O O
a O O B-PLOT
stock O O I-PLOT
broker O O I-PLOT
seeking O O I-PLOT
to O O I-PLOT
restore O O I-PLOT
his O O I-PLOT
empire O O I-PLOT

i O O O
am O O O
thinking O O O
of O O O
a O O O
film O O O
about O O O
a O O O
manufacturer O O B-PLOT
who O O I-PLOT
initially O O I-PLOT
inadvertently O O I-PLOT
saves O O I-PLOT
thousands O O I-PLOT
of O O I-PLOT
jews O O I-PLOT
from O O I-PLOT
certain O O I-PLOT
death O O I-PLOT
during O O I-PLOT
the O O I-PLOT
holocaust O O I-PLOT

what O O O
is O O O
the O O O
classic O O B-GENRE
comedy O O I-GENRE
about O O O
the O O O
old O O O
west O O O
that O O O
was O O O
written O O O
directed O O O
and O O O
starred O O O
mel O O B-ACTOR
brooks O O I-ACTOR

what O O O
is O O O
the O O O
movie O O O
starring O O O
robert O O B-ACTOR
de O O I-ACTOR
niro O O I-ACTOR
about O O O
a O O B-PLOT
boxer O O I-PLOT
s O O I-PLOT
life O O I-PLOT
that O O I-PLOT
was O O O
directed O O O
by O O O
martin O O B-DIRECTOR
scorsese O O I-DIRECTOR

jeremy O O B-ACTOR
renner O O I-ACTOR
takes O O O
over O O O
for O O O
matt O O B-ACTOR
damon O O I-ACTOR
in O O O
the O O O
highly O O B-OPINION
popular O O I-OPINION
book O O B-PLOT
and O O I-PLOT
movie O O I-PLOT
series O O I-PLOT
about O O I-PLOT
espionage O O I-PLOT
in O O O
what O O O
movie O O O

the O O B-PLOT
trials O O I-PLOT
and O O I-PLOT
effects O O I-PLOT
the O O I-PLOT
civil O O I-PLOT
war O O I-PLOT
have O O I-PLOT
on O O I-PLOT
a O O I-PLOT
rich O O I-PLOT
southern O O I-PLOT
family O O I-PLOT

what O O O
is O O O
the O O O
2010 O O B-YEAR
american O O B-GENRE
comedy O O I-GENRE
film O O O
starring O O O
jonah O O B-ACTOR
hill O O I-ACTOR
and O O O
russell O O B-ACTOR
brand O O I-ACTOR
in O O O
which O O O
brand O O O
stars O O O
as O O O
the O O O
rocker O O O
aldous O O B-CHARACTER_NAME
snow O O I-CHARACTER_NAME

what O O O
s O O O
the O O O
teen O O B-GENRE
comedy O O I-GENRE
about O O O
a O O B-PLOT
girl O O I-PLOT
whose O O I-PLOT
halloween O O I-PLOT
night O O I-PLOT
is O O I-PLOT
ruined O O I-PLOT
when O O I-PLOT
her O O I-PLOT
brother O O I-PLOT
goes O O I-PLOT
missing O O I-PLOT

this O O O
martin O O B-DIRECTOR
scorsese O O I-DIRECTOR
film O O O
contains O O O
the O O O
classic O O O
moment O O O
of O O O
robert O O B-ACTOR
deniro O O I-ACTOR
looking O O O
in O O O
the O O O
mirror O O O
and O O O
asking O O O
you O O B-QUOTE
looking O O I-QUOTE
at O O I-QUOTE
me O O I-QUOTE

this O O O
2011 O O B-YEAR
steve O O B-ACTOR
carell O O I-ACTOR
movie O O O
is O O O
about O O O
a O O B-PLOT
guy O O I-PLOT
who O O I-PLOT
has O O I-PLOT
n O O I-PLOT
t O O I-PLOT
dated O O I-PLOT
in O O I-PLOT
awhile O O I-PLOT
learning O O I-PLOT
how O O I-PLOT
to O O I-PLOT
pick O O I-PLOT
up O O I-PLOT
girls O O I-PLOT

which O O O
1981 O O B-YEAR
american O O B-GENRE
cyberpunk O O I-GENRE
action O O I-GENRE
film O O O
directed O O O
by O O O
john O O B-DIRECTOR
carpenter O O I-DIRECTOR
stars O O O
kurt O O B-ACTOR
russell O O I-ACTOR
as O O O
